頻道,日期,影片ID,標題,影片長度,觀看人數,網址
ctitv,20190328,45SVf9Z-0Z0,共享經濟夯！　電動機車推自動租賃服務,60,845,https://youtu.be/45SVf9Z-0Z0
ctitv,20190328,ZSLTfNudzP0,【氣象】中午30度以上　明天北、東部轉濕涼,132,1464,https://youtu.be/ZSLTfNudzP0
ctitv,20190328,986kXkhs7NA,每逢逆風就出這招？　盤點民進黨撕報　關台史,134,44949,https://youtu.be/986kXkhs7NA
ctitv,20190328,VtSVKCBfnGc,韓國瑜返小港機場　逾200警力層層維安,93,7782,https://youtu.be/VtSVKCBfnGc
ctitv,20190328,Bc0PmUtXpts,「這是送給孫中山的鐘」　古董商誆女75萬,101,1468,https://youtu.be/Bc0PmUtXpts
ctitv,20190328,C1bGM641TgY,韓市長長頭髮！　「禿子」創意造型盆栽超夯,91,6293,https://youtu.be/C1bGM641TgY
ctitv,20190328,UEczPVajLI8,「鳳凰雲」遭NCC重罰40萬元　那這些新聞呢？,135,4957,https://youtu.be/UEczPVajLI8
ctitv,20190328,6RNEV8CcPFU,戴「有色眼鏡」罰中天？！　名嘴轟NCC：東廠走狗,109,5915,https://youtu.be/6RNEV8CcPFU
ctitv,20190328,aVp7R9Y1_yI,赴NCC陳述　媒體主管被問：你哪個學校畢業的,121,26433,https://youtu.be/aVp7R9Y1_yI
ctitv,20190328,tqo60xjTaUg,韓帶頭出訪搶訂單　中、投首長也訪陸拚經濟,98,27763,https://youtu.be/tqo60xjTaUg
ctitv,20190328,n_URyDxROMg,高雄發大財！　韓國瑜帶回52億訂單返台,113,14127,https://youtu.be/n_URyDxROMg
ctitv,20190328,iYWybZpWM9o,神龍小組高空任務！　解密「三道通訊」精準著陸,94,857,https://youtu.be/iYWybZpWM9o
ctitv,20190328,c4fjgPdNHrM,12萬模型飛機失控墜毀！　民宅遭撞屋頂破洞,92,629,https://youtu.be/c4fjgPdNHrM
ctitv,20190328,zigfMGWjzaQ,「很久沒看到他」　孝順韓冰直奔市府探韓國瑜,93,115683,https://youtu.be/zigfMGWjzaQ
ctitv,20190328,OCwIe1aRxC0,嘉義拚農產契作　200公頃地瓜外銷,67,5339,https://youtu.be/OCwIe1aRxC0
ctitv,20190328,Sw-GdluqpcI,民眾聲援中天新聞　熱情call-in痛批NCC鴨霸,133,9622,https://youtu.be/Sw-GdluqpcI
ctitv,20190328,fGK-eag-oyA,痛批NCC開罰百萬不公　韓粉挺中天高喊「加油」,101,7471,https://youtu.be/fGK-eag-oyA
ctitv,20190328,9yG85ULmkM0,NCC罰中天法源依據呢？　學者批：先射箭再畫靶,108,4110,https://youtu.be/9yG85ULmkM0
ctitv,20190328,c3advXSQkL4,陳致中先告、阿扁又轟　韓國瑜：這對父子怎麼了？,111,80866,https://youtu.be/c3advXSQkL4
ctitv,20190328,fp8Lbn67CWg,回擊賣台批評！　韓：我是賣菜郎　不是小紅帽,118,9566,https://youtu.be/fp8Lbn67CWg
ctitv,20190328,FQXQzL3jRpI,巧！和市長同班機　媽祖指示「與瑜同行」,90,137967,https://youtu.be/FQXQzL3jRpI
ctitv,20190328,JgNtTaTvLtc,拱韓新招？　吳敦義拋「特邀」韓國瑜參加初選,113,23922,https://youtu.be/JgNtTaTvLtc
ctitv,20190328,jUeeVwlD0-o,騎士墜15米深谷　掉在廢床墊奇蹟保命,91,568,https://youtu.be/jUeeVwlD0-o
ctitv,20190328,dNrmqWlVm8c,「我很忙」男遭拖吊拒繳費　爆氣破壞閘門,96,555,https://youtu.be/dNrmqWlVm8c
ctitv,20190328,UQ1sEwCYn9s,川普發飆也沒用　美聯邦傳播委員會拒淪打手,98,2551,https://youtu.be/UQ1sEwCYn9s
ctitv,20190328,88OORZyejtw,上千韓粉擠爆小港機場　拱韓國瑜選總統,98,68284,https://youtu.be/88OORZyejtw
ctitv,20190328,L_Vx5DeHSDs,崔始源6度來台　與產後首亮相陳意涵敘舊,90,509,https://youtu.be/L_Vx5DeHSDs
ctitv,20190328,-2tpd_LgivM,小哥封麥巡演再加場！　11月最後一夜留給台灣,102,540,https://youtu.be/-2tpd_LgivM
ctitv,20190328,IbJgmw5eiw4,寧夏推「最俗機票」　銀川-中衛不到30元！,86,338,https://youtu.be/IbJgmw5eiw4
ctitv,20190328,mdSb9lY8KAw,婚變後首度露面！　愛紗：會努力振作起來,85,967,https://youtu.be/mdSb9lY8KAw
ctitv,20190328,YtDLK-zVeg8,疑沒聽到下車鈴　司機譙客「坐免費公車還囂張」,86,583,https://youtu.be/YtDLK-zVeg8
ctitv,20190328,SU_qv8lDdRU,三年說不到10句話　高中同窗寫信「示警」：同學不尋常,93,1034,https://youtu.be/SU_qv8lDdRU
ctitv,20190328,DIp3NSRSG80,韓流滿載而歸！　結束經濟之旅歡喜返台,133,13300,https://youtu.be/DIp3NSRSG80
ctitv,20190328,l_McEv-EmE4,韓訪陸恐遭罰50萬　張志軍批：不得人心,79,28012,https://youtu.be/l_McEv-EmE4
ctitv,20190328,dZTRCmSSy8o,川普發飆也沒用美聯邦傳播委員會拒淪打手,99,3997,https://youtu.be/dZTRCmSSy8o
ctitv,20190328,-U49n5IgoaY,陳文茜抗癌抱病仍上工！　網路節目點閱破千萬,89,5370,https://youtu.be/-U49n5IgoaY
ctitv,20190328,Vp0UnHYwXRE,連3車禍！　台中夜不平靜　3騎士輕傷、1廂車翻覆,92,481,https://youtu.be/Vp0UnHYwXRE
ctitv,20190328,5w9ZOe9Q6K0,林俊傑歡慶38歲生日！孫燕姿、Selina驚喜現身,94,1806,https://youtu.be/5w9ZOe9Q6K0
ctitv,20190328,uu1m1llvEKI,赴NCC陳述　媒體主管被問：你哪個學校畢業的,100,32981,https://youtu.be/uu1m1llvEKI
ctitv,20190328,CnrquYmo-4U,韓國瑜帶52億訂單回台　上千韓粉擠爆機場,123,40206,https://youtu.be/CnrquYmo-4U
